WKT,nom,description
"POINT (-75.6904487 45.4148336)",,Point 318
"POINT (-75.6893115 45.4165959)",,Point 319
"POINT (-75.6999641 45.412913)",,Point 320
"POINT (-75.6997818 45.4126192)",,Point 321
"POINT (-75.6991595 45.4150895)",,Point 322
"POINT (-75.6988591 45.4147732)",,Point 323
"POINT (-75.6986338 45.4146)",,Point 324
"POINT (-75.6962091 45.415195)",,Point 325
"POINT (-75.6960052 45.414954)",,Point 326
"POINT (-75.7017988 45.4150218)",,Point 327
"POINT (-75.7021314 45.4147732)",,Point 328
"POINT (-75.7026142 45.4137038)",,Point 329
"POINT (-75.7042771 45.4155113)",,Point 330
"POINT (-75.7019168 45.4165129)",,Point 331
"POINT (-75.6995779 45.417507)",,Point 332
"POINT (-75.6969115 45.4091883)",,Point 333
"POINT (-75.6967827 45.4089699)",,Point 334
"POINT (-75.6966003 45.4088117)",,Point 335
"POINT (-75.6963643 45.4085857)",,Point 336
"POINT (-75.6963107 45.4084351)",,Point 337
"POINT (-75.6928131 45.4107549)",,Point 338
"POINT (-75.6947872 45.4100771)",,Point 339
"POINT (-75.6944653 45.4096553)",,Point 340
"POINT (-75.6910965 45.4123366)",,Point 341
"POINT (-75.6903884 45.4116362)",,Point 342
"POINT (-75.6901845 45.4113952)",,Point 343
"POINT (-75.6900021 45.4112295)",,Point 344
"POINT (-75.6898734 45.4110562)",,Point 345
"POINT (-75.6883284 45.4091582)",,Point 346
"POINT (-75.6880495 45.4090603)",,Point 347
"POINT (-75.68791 45.4088795)",,Point 348
"POINT (-75.6878778 45.4087439)",,Point 349
"POINT (-75.6969021 45.4223279)",,Point 351
"POINT (-75.6965802 45.4219212)",,Point 352
"POINT (-75.6988976 45.4214393)",,Point 353
"POINT (-75.700743 45.4205507)",,Point 354
"POINT (-75.7041333 45.420867)",,Point 355
"POINT (-75.7029317 45.4196169)",,Point 356
"POINT (-75.6941126 45.4263188)",,Point 357
"POINT (-75.68804 45.4286981)",,Point 358
"POINT (-75.6857655 45.428668)",,Point 359
"POINT (-75.6923316 45.4302492)",,Point 360
"POINT (-75.6882546 45.4318604)",,Point 361
"POINT (-75.6934045 45.4315743)",,Point 362
"POINT (-75.689349 45.43305)",,Point 363
"POINT (-75.6874821 45.4308515)",,Point 364
"POINT (-75.6864307 45.4296318)",,Point 365
"POINT (-75.6869242 45.4345106)",,Point 366
"POINT (-75.6872246 45.4339685)",,Point 367
"POINT (-75.6874821 45.4335318)",,Point 368
"POINT (-75.6842206 45.4323122)",,Point 369
"POINT (-75.6828473 45.4313635)",,Point 370
"POINT (-75.673196 45.4229628)",,Point 371
"POINT (-75.6917978 45.413471)",,Point 372
"POINT (-75.6876994 45.4137723)",,Point 373
